ts	phase	decision	why	evidence	result
2026-08-18T12:27:25Z	hazard	noted that I and the engineer share one working tree and I ran a git checkout in it	shared mutable state between two actors; it was already on the same branch so nothing broke, but the next slice needs a worktree per writer	principle-separate-before-serializing-shared-state	open
2026-08-18T12:31:34Z	groom	reviewer caught that deleting src/audioface.js removed the only definition of play, leaving the ./react export calling a function nobody provides	round one grepped for deleted paths textually and found none; this is a deleted capability, which that search shape cannot see	main:src/audioface.js:35 defined play; packages/react/src/index.js calls audioface.play at four sites	fix round 2 dispatched
2026-08-18T12:31:34Z	groom	chose to delete packages/react rather than repoint it at packages/engine	repointing would pin the new engine public surface before the phase that designs it has run	~/.mdx/design/audioface-phase2-plan.md Phase 2 is the graph model design	decided
2026-08-18T12:31:34Z	gate	added test/tokens.test.mjs to the Phase 1 gate hardening list	it asserts a generated string rather than resolving it, which is why check never noticed the package emits code that cannot run; same antipattern as engine.test.mjs	reviewer finding, test/tokens.test.mjs:66	carried forward
2026-08-18T12:33:03Z	groom	ruled that the react adapter test does not preserve packages/react, delete both	all three of its tests build a hand written play stub, so it never touched the real function and could not have caught the missing provider	test/react-adapter.test.mjs constructs const audioface = { play(token, options) }	decided
2026-08-18T12:33:03Z	gate	fourth test found that cannot see what it claims to cover, this one via a mock with no real subject	three assert against source text, one asserts against a stub; the pattern is systemic and the gate hardening phase has to name both mechanisms	test/tokens.test.mjs, test/engine.test.mjs, studio dom tests, test/react-adapter.test.mjs	carried forward
2026-08-18T12:33:03Z	groom	recorded bindAudioface pointer to token mapping as a deliberate deletion recoverable from git	it is real product logic belonging to the Interface Semantics context, which the user sequenced after the studio work	user instruction: nail the studio first, then layer on sound groupings for interfaces	recorded
2026-08-18T12:38:46Z	groom	fix round 2 landed at 6563230, ran the gate and the strip-types probe myself again	the react deletion edits src/themes.js, which is the file the strip-types probe covers, so the earlier pass did not carry over	check exit 0, 277 passing 0 failing, 230 fingerprints, baseline diff empty, exports down to six entries	verified
2026-08-18T12:38:46Z	groom	asked the reviewer to apply the missing capability lens once more across the whole surface	that lens found play where path grepping found nothing, and this slice has now been bitten by it twice	warroom audioface pane %170 opus, 04155dd..6563230	dispatched
2026-08-18T12:43:30Z	groom	re-probing the sharpness fold against the real commit was necessary, the written form differs from the pre-probed form	it was inlined as a property rather than a local, so it evaluates after peakDb attackTime and decayTime; the pre-probe tested a different program	605 signals, 1815 comparisons, 0 divergences, NaN branch hit 55 times	cleared
2026-08-18T12:43:30Z	groom	engineer changed the emitted call from play to resolve rather than deleting it as I briefed, and that was better than my instruction	the generated snippet now emits a method that exists; typeof af.resolve is function while af.play is undefined	345 generated outputs compared, 253 differ, all 253 explained by play becoming resolve, 0 unexplained	accepted, my brief was worse
2026-08-18T12:43:30Z	groom	last item is AUDIT.md claiming a deleted parity test guards coefficients that src/tokens.js cites as its justification	this is a broken chain of trust rather than doc rot, so the fix has to establish what actually guards them now or record that nothing does	AUDIT.md:7, src/tokens.js:3 and :507 citing F1 F2 F13	dispatched
2026-08-18T12:52:53Z	groom	AUDIT.md now names material-claims and the eight themed golden cases as the guard, and states plainly that the legacy src/tokens.js copy has none	I asked for the guard to be established by evidence or the hole recorded honestly; it did both rather than papering over the loss	0e3b38d, AUDIT.md audited surface paragraph	verified by reading, coverage claim sent for probe
2026-08-18T12:52:53Z	groom	sent the coverage claim itself for perturbation testing before merging on it	a false claim of coverage is the exact failure my instruction could have induced, and it would let a later phase trust something untested	warroom audioface pane %170 opus, 6563230..0e3b38d	dispatched, last gate
2026-08-18T12:57:22Z	gate	perturbation test caught a false coverage claim: F13 has zero golden master coverage	I sent the coverage claim to be probed precisely because asking for a guard to be named creates pressure to name one	removing the sqrt(Q) compensation moves 0 of 230 fingerprints; a 50 percent noise gain cut also moves 0 of 230	claim being narrowed
2026-08-18T12:57:22Z	gate	found a live gate hole: a 50 percent noise gain cut passes the entire check with every filtered noise layer half as loud	the F13 test pins only the gain to sqrt(Q) ratio, so a uniform scale satisfies it, and the golden master never renders that path	golden-master.mjs:75 renders resolvePatchPlayback into packages/engine; the compensation lives in resolveLayer on the resolveAudiofaceToken path	carried to gate hardening slice
2026-08-18T12:57:22Z	design	asked whether resolveAudiofaceToken is reachable from studio at runtime or only from tests	if two resolution paths are still live then the parity rewrite has to collapse them, which changes that phase materially	fix round 4 item 4	open
2026-08-18T13:01:05Z	design	confirmed two live resolvers: studio runs resolvePlayback into resolveAudiofaceToken, the golden master renders resolvePatchPlayback	I read the fork myself because it changes the shape of the parity rewrite phase, not just the gate slice	useStudioPlayback.ts:62 calls resolvePlayback; playback.ts:183 calls resolveAudiofaceToken; golden-master.mjs:75 calls resolvePatchPlayback	confirmed
2026-08-18T13:01:05Z	gate	asked what the Phase 1 parity binding actually covers, since removing the F13 compensation left all 277 tests green	commit 86a4620 was landed to bind these two resolvers at 1e-14, so either its scope is narrower than I recorded or it does not reach filtered noise Q	warroom audioface pane %170 opus	open, decides the next slice
2026-08-18T13:06:37Z	gate	SUPERSEDES the row claiming a 50 percent noise gain cut passes the whole check, it does not, check goes red	the reviewer ran material-claims in isolation plus the golden runner and never the full suite; the full suite gives 276 pass 1 fail on that cut	test/golden-master.test.mjs:110 also guards F13 and catches strictly more than material-claims	retracted
2026-08-18T13:06:37Z	design	SUPERSEDES my row confirming studio runs resolveAudiofaceToken through resolvePlayback, I misread the file	I read a fragment and attributed a call at line 183 to resolvePlayback, but 183 sits inside resolveTokenPlayback which is declared at 158; I assumed containment from adjacency	playback.ts declares resolvePlayback at 66 and resolveTokenPlayback at 158-169; useStudioPlayback calls resolvePlayback at 62 and resolveTokenPlayback at 82	corrected
2026-08-18T13:06:37Z	design	the real picture: studio main playback is already on the patch path, the legacy resolver enters at token editor auditions and sequence-timeline.ts:286	this is still two live paths in studio but not where I said, and it makes the parity rewrite smaller than I feared	useStudioPlayback.ts:82, packages/core/src/sequence-timeline.ts:286	confirmed by grep on function declarations
2026-08-18T13:09:38Z	groom	merged slice 0 to main and pushed, 18 commits, 4067 deletions against 81 insertions	gate verified green on main after the merge rather than only on the branch, and the baseline compared against the pre-merge sha directly	664e9ef; check exit 0, 277 passing, 230 fingerprints; 556b7c8..664e9ef pushed to origin	landed
2026-08-18T14:00:54Z	gate	split gate hardening into two slices, starting with making the four blind tests see their subject	one slice covering blind tests, typecheck reach, boundary cases and the resolver to engine anchor would have been four unrelated checks sharing one verdict	~/.mdx/design/audioface-phase2-plan.md Phase 1	slice 1a dispatched
2026-08-18T14:00:54Z	hazard	resolved the shared working tree hazard by not mutating it rather than by building worktrees	the engineer is the only writer and the reviewer already probes against git archive copies, so eliminating my writes removes the sharing without ceremony	row 15 logged the hazard after I ran a checkout mid slice	closed
2026-08-18T14:26:46Z	gate	independently reproduced the anchor perturbation in a scratch copy rather than accepting the 70 check claim	the perturbation record is the deliverable of this slice, so accepting it on a self report would defeat the slice	scaling engine master output by 0.8: branch golden-master.test.mjs goes 16 pass 0 fail to 15 pass 1 fail	verified load bearing
2026-08-18T14:26:46Z	gate	control run caught my own false reading: 4 failures on perturbed main were a broken scratch setup, not detections	the unperturbed main copy failed the identical 4 files, so nothing on main detects a uniform master scale	probe3 control, 249 pass 4 fail with and without the perturbation, same 4 store test files	corrected before reporting
2026-08-18T18:36:34Z	recovery	network outage killed the reviewer pane mid priming, recycled the whole warroom rather than nursing it	the pane had zero context and a stale title disagreeing with warroom_status, which is the renumbering hazard; everything durable was already on disk	branch 1db2148 intact, check exit 0 with 290 tests, 47 row decision trail	recovered
2026-08-18T18:36:34Z	gate	split slice 1a verification across two families: opus reviews the code, grok independently reproduces perturbation rows	the 70 check claim is the slice's real deliverable and it is cheap to write, so it needs a prober who did not write it and did not review it	warroom panes %176 opus, %177 grok, %178 codex idle	dispatched
2026-08-18T18:36:34Z	gate	told the prober to establish a control run before every perturbation	I nearly reported a false detection on this slice by skipping the control, and the reviewer made the same mistake on slice 0	probe3 control run, 4 identical failures with and without the perturbation	encoded in the brief
2026-08-18T18:47:06Z	gate	independent prober found 2 false rows in 16 sampled, so the 70 check claim does not hold as written	sampling was the right call; the two failures are different defects and neither would have surfaced from reading the record	~/.mdx/TMP/pstack/audioface-phase2/gate-tests-independent-verification.md rows 4 and 16	fix round needed
2026-08-18T18:47:06Z	gate	row 16 is a real defect in a new check: it searches the whole studio markup for a duration string the ruler already renders	zeroing the duration readout, the thing the check claims to cover, leaves it green; the engineer proved it with a broader edit that wipes every tick	assert.match(studioHtml, />1.12 s</span>/) matches the ruler tick, not the readout	confirmed
2026-08-18T18:47:06Z	gate	row 4 is a bad proof rather than a bad check: the perturbation crashed Web Audio before the assertion ran	a negative start time throws in the offline context, so red came from the crash and the onset check remains unproven	Error: The provided time value (-0.119) cannot be negative	confirmed
2026-08-18T18:49:08Z	gate	code review filed 4 blockers 17 majors 22 minors on slice 1a, two blockers reproduced	the slice traded twelve bad but real assertions for behavioral ones covering less; a broken flow scheduler passes 290 of 290 and both studio entry files are deletable with the suites green	~/.mdx/TMP/pstack/audioface-phase2/gate-tests-review.md	redo dispatched
2026-08-18T18:49:08Z	gate	found the root cause behind both verifications: perturbations were applied to fixtures rather than to production code	a check that reads a fixture and asserts against that same fixture always reddens when you edit the fixture, which is why the record showed 70 of 70	offsetMs check asserts the fixture delayMs vector and never reaches the scheduler; duration check matches a ruler tick	root cause
2026-08-18T18:49:08Z	gate	briefed the redo to build and COMMIT a perturbation harness before fixing any individual finding	the proof artifact for this slice was living in scratch, so no reviewer could rerun it; the rule that perturbations must edit production code has to be enforced by a tool, not by a brief	harness goes under scripts/, was at ~/.mdx/TMP/pstack/audioface-phase2/gate-tests-perturbations.mjs	dispatched to fresh codex pane
2026-08-18T19:23:59Z	gate	redo landed at 87571b4, 302 tests, harness proves 40 of 40 by assertion failure, down from a claimed 70	the honest number is lower than the false one, which is the outcome I wanted	ran scripts/gate-perturbations.mjs myself, every row shows green then assertion failure then green	verified
2026-08-18T19:23:59Z	gate	independently reproduced all three reproducible blockers as fixed, with production code perturbations and controls	the harness was written by the same engineer that fixed the blockers, so the harness passing is not independent evidence that the blockers are gone	control 54 pass 0 fail; delete index.html 2 fail; delete main.tsx 3 fail; force offsetMs to 0 in useStudioPlayback 1 fail	confirmed fixed
2026-08-19T11:47:45Z	gate	dispatched delta re-review and a second independent verification pass on 87571b4	the harness now makes the claim instead of a human, so the harness is what needs auditing; a tool reporting 40 of 40 is as trustworthy as a human reporting 70 of 70 until checked	warroom panes %176 opus review, %177 grok verification	dispatched
2026-08-19T11:47:45Z	design	queued a root src/ deletion slice after gate hardening and before the graph model design	1906 lines and 46 tests that constrain nothing that ships, but bin/audioface.mjs validate imports validateProject from src/validator.js which imports eight of the nine files	src/validator.js imports contracts, catalog, sequence-editor, sequences, sequence-graph, timeline, themes, tokens	queued, port validate first
2026-08-19T11:59:40Z	gate	the redo closed the coverage blockers by reverting three studio test files to 664e9ef byte for byte, restoring the pattern the slice existed to remove	test/ went from 0 back to 111 readFileSync assertions over studio sources, and it did not buy the coverage either	reviewer reproduced all three hook defects green at 302 of 302 with asserted text intact, while a behaviour preserving rename turns one red	rejected as a fix
2026-08-19T11:59:40Z	gate	decided to stop solving studio behavioural coverage in this slice and give it its own	it has failed twice, once by losing coverage and once by reverting; letting it block the harness and the 230 of 230 anchor would trade three landed wins for one unsolved problem	slice 1a fix round item 5, deferral recorded in the notes	decided
2026-08-19T11:59:40Z	gate	three of my five concerns about the redo were unfounded and the reviewer disproved them by probe	worth recording that scepticism was wrong here: blocker 1 was not fixed by deletion, the variance commit was a tightening, and the harness restore survives SIGINT	helper moved to test-support/studio-runtime.mjs resolving vite via createRequire; anchor covers 230 of 230 entries	closed
2026-08-19T12:04:03Z	gate	second independent pass: 16 cases reproduced by hand, 16 agree with the harness, 0 rule violations	the harness is now the thing making the claim, so it needed an auditor who ran the perturbations by hand rather than trusting its output	~/.mdx/TMP/pstack/audioface-phase2/gate-tests-independent-verification.md second pass	harness trustworthy
2026-08-19T12:04:03Z	gate	both original false rows were repaired in place rather than deleted	deleting an inconvenient check is the cheap way to make a record honest, and that is not what happened	negative offset now uses Math.abs so the assertion runs instead of crashing; duration now asserts a scoped readout selector and the case zeros only the idle readout	confirmed
2026-08-19T12:04:03Z	gate	the two verifiers disagree in a way that is informative rather than contradictory	grok audited whether perturbations touch production code and found zero violations; opus audited whether the CHECK is behavioural and found twelve reading the same file the perturbation edits	a legal perturbation on a source-text check is still a weak proof	both right
2026-08-19T12:12:34Z	gate	labelling fix landed at 97bcb43, harness reports 28 behavioural and 12 source-text of 40 and is wired into check	40 of 40 proven was overstating itself, and the split number is the honest one	package.json check now ends with test:gate-perturbations; baseline diff empty	verified
2026-08-19T12:12:34Z	gate	found a flaky failure the engineer reported as green: level difference NaN dB at engine.test.mjs:103	I ran check myself and got exit 1 where the report said exit 0; the assertion produced NaN, which is the failure mode that silently defeated the Phase 0 gate	observed once, then 5 isolated runs, 11 full suite runs and 3 runs under 8 way CPU contention all green	blocker, root cause demanded
2026-08-19T12:12:34Z	gate	refused a retry or a widened tolerance as the fix for the flake	a gate that fails one run in twenty trains people to re-run it, and a re-run habit is how a real failure gets waved through	brief requires NaN be unrepresentable in that measurement and 20 consecutive green checks as evidence	dispatched
2026-08-19T12:41:14Z	gate	root cause of the NaN flake was real: the offline helper retained node-web-audio-api's documented unreliable getChannelData view	the fix copies into an owned Float32Array via copyFromChannel and throws on any nonfinite sample, so NaN is unrepresentable downstream	scripts/audit/render.mjs copyAudioBufferChannel; test/audit-render.test.mjs forces the condition by monkeypatching getChannelData to return NaN	fixed
2026-08-19T12:41:14Z	gate	the flake lived in the golden master's own render path, not just in one test	scripts/audit/render.mjs is what produces all 230 fingerprints, so the gate's instrument had the defect the gate exists to catch	renderResolvedPlayback was returning buffer.getChannelData(0) directly	significant
2026-08-19T12:41:14Z	hazard	found a blocker myself: killing pnpm run check orphans the harness, which keeps running and perturbing production source files	the reviewer tested SIGINT on the node process and it restored cleanly, but killing the pnpm parent leaves the node grandchild alive and mutating the tree	timeout 25 pnpm run check left useSequenceAudition.ts then SequenceFlowControls.tsx modified while pid 98677 kept running	blocker, tree restored
2026-08-19T14:01:07Z	pivot	abandoned the in place rewrite for a fresh codebase, reversing what I advised earlier	phase 2 and 3 were going to delete everything except the patch model anyway, and in place refactoring is exactly the migration the user ruled out	~/.mdx/design/audioface-foundation.md	decided
2026-08-19T14:01:07Z	pivot	architecture is three layers: foundation, plugin, pack, with the dependency arrow pointing one way	the screenshot is rows of events by columns of packs, which is a domain vocabulary realised in several styles; measurement becomes the pack certification layer and ships	user screenshot of the sound pack audition tool	spec drafted
2026-08-19T14:01:07Z	pivot	four day one engine requirements that do not retrofit: polyphony, stereo, seeded variation, distance as a render	twenty simultaneous shooters through a limiter is the normal case for a game, not a stress test; the current engine renders one mono voice into a 0.75 second window	screenshot 20-SHOT STRESS and the distant render not a volume knob note	scoped
2026-08-19T14:52:05Z	arena	three blind designs agreed on ten things, including deleting the semantic branch and the future parameter split	unanimity across three model families that never saw each other's work is the strongest signal available on a one way door	~/.mdx/design/audioface-foundation-decision.md	settled
2026-08-19T14:52:05Z	arena	picked candidate A as the base: no audio graph, flat chain, one block renderer identical online and offline	two of three rejected the node graph independently, and every failure this week traces to measuring one code path and shipping another	candidate-a.md; candidate-c.md reached the same conclusion by a different route	selected
2026-08-19T14:52:05Z	arena	grafted labeled child seeds from candidate B, the best single idea in the arena	it kills the Phase 1 constraint where draw order defined sound identity and any reordering moved fingerprints	candidate-b.md position 4	grafted
2026-08-19T14:52:05Z	arena	found the gap none of the three could resolve: the voice model is fire and forget with no sustain	the reference tool shows only one shot events so nothing in the brief forced the question, but ambience would; adding sustain later is a rewrite of voice lifetime	candidate A position 1 versus candidate B release and stop handle	open, needs a product call
2026-08-19T19:17:28Z	arena	blind second opinion rejected my instinct that sustain level decides voice lifetime, and it is right	sustain is signal, lifetime is control; inferring hold from S>0 means a 1e-4 residue never dies, a bed authored at S=0 clicks, and people fake sustain by retriggering which seams and re-rolls jitter	~/.mdx/TMP/pstack/audioface-foundation/ambience-second-opinion.md	my instinct discarded
2026-08-19T19:17:28Z	arena	ambience breaks agreement 8 on WHEN, not what: listener fields cannot be frozen at resolve	a held bed outlives the player walking, so pan width and distance must live on the voice and change between blocks, while patch scalars stay frozen	second opinion point 6	amends the base
2026-08-19T19:17:29Z	arena	took two class budgets over a plugin declared priority knob	steal only inside the class means gunfire cannot evict a bed and beds cannot starve gunfire, and packs get no priority knob to abuse	maxTransient and maxHeld on Engine	selected
2026-08-19T19:19:03Z	arena	settled the discriminant in A's favour but grafted Grok's hole: listener fields cannot be frozen at resolve	A's sustain===0 mechanism plus a declared sustaining flag gives Grok the checkable contract it wanted, and A never noticed that a held bed outlives the player walking	~/.mdx/design/audioface-foundation-decision.md ambience section	resolved
2026-08-19T19:19:03Z	arena	two DSP details from A that would have shipped as bugs: float64 phase, and counter based per sample noise	float32 phase loses audible precision within seconds at 48kHz, and a counter based PRNG has no loop point by construction	candidate-a amendment point 4	recorded
2026-08-19T19:25:57Z	build	my brief demanded the golden master pass on day one, which was never possible once the old engine stopped coming across	the new renderer is flat chain block DSP rather than a Web Audio node graph, so it cannot produce byte identical fingerprints even when it exists	engineer reported blocked: golden master imports AudiofaceToken, ThemeSnapshot and packages/engine	my error, corrected
2026-08-19T19:25:57Z	build	reframed baseline.jsonl from regression gate to reference recording	its job across an engine replacement is to make an acoustic comparison possible, not to be re-matched exactly; the gate arrives on day two with stated per metric tolerances	~/.mdx/design/audioface-foundation.md said day one, which over claimed	corrected
2026-08-19T19:25:57Z	build	asked the engineer to record what the golden master needed from the deleted code, as slice 2's specification	it has that list in hand right now and it is the most useful artifact it can leave behind	skeleton-notes.md heading: What slice 2 must stand up	dispatched
2026-08-19T19:42:05Z	build	fresh repo landed at audioface-next 5fce65b, 20 files, 3476 lines, one test	the old tree carried 36 test files and 6200 lines of test code; this is what less is more looks like at the start	check exit 0; 23 canonical patches validate and resolve; donor untouched at fd347d4	verified
2026-08-19T19:42:05Z	build	engineer added a skeleton guard I did not ask for, pinning the baseline and descriptors by sha256 and forbidding the deleted terms from reappearing	the deletion is now enforced by a check rather than by discipline, which is the right shape for a rule that has to hold for months	scripts/verify-skeleton.mjs FORBIDDEN_MODEL_TERMS	accepted
2026-08-19T19:42:05Z	build	the phase2-gate-tests branch is superseded and will not merge	render.mjs does not come across to the new repo, so its copyFromChannel fix survives as recorded knowledge rather than as code	donor branch fd347d4, unmerged	abandoned
2026-08-19T19:59:28Z	structure	base is candidate 1 for the control contract: recursive manifest, three exhaustive edit operations set/insert/remove over one path model, atomic apply against an expected revision	structural editing already exists in the code being carried across and a patch is a tree, so a flat row list cannot describe it; candidate 2 conceded the point and answered with a second operation that has no stated adapter mapping	packages/core/src/patch-editing.ts deleteLayer retypeLayer	selected
2026-08-19T19:59:28Z	structure	rejected candidate 2 splitting set and structure into two control operations	two operations means every adapter projects two shapes; three operations over one path model is one projection	structure-candidate-2.md section 2	rejected
2026-08-19T19:59:28Z	structure	grafted candidate 2 address stability: every addressable collection member carries an id from the first commit, positional indices never appear in an address	scenario/events/3/at reorders on insert; candidate 1 path edits have this defect and candidate 1 did not see it	structure-candidate-2.md section 4	grafted
2026-08-19T19:59:28Z	structure	grafted lifetime frozen or live as a parameter registry column	turns the listener fields correction into data the resolver reads, instead of a special case in the resolver	structure-candidate-2.md section 4	grafted
2026-08-19T19:59:28Z	structure	grafted candidate 2 incremental order: rename, extract contract, split the registry, then control and CLI before any DSP	proves the no per adapter work claim against parameters that already render, instead of building a renderer and a control surface at once	candidate 1 put control at step 6 after the engine	grafted
2026-08-19T19:59:28Z	structure	zod lives in the contract package, which has zero workspace edges and one leaf dependency	third party pack data enters at that boundary and a contract you cannot parse is not one	candidate 1 excluded zod, candidate 2 included it	grafted
2026-08-19T19:59:28Z	structure	rejected the model and catalog package names from candidate 2	model is vague and candidate 2 own placement rule bans vague names; catalog collides with ControlCatalog	packages are contract, patch, engine, measure, content, control	rejected
2026-08-19T19:59:28Z	structure	canonical-patches.ts moves out of the foundation into a reference pack	the 23 sounds are a pack; button and modal vocabulary in the foundation is the layering violation the architecture exists to prevent	candidate 2 wanted it kept in model because one test binds to it	rejected candidate 2
2026-08-19T20:24:28Z	structure	slice A landed: 51ef7d6 rename core to @audioface/patch, 1e7bc91 extract @audioface/contract, d771ed1 split the 598 line registry into six files with parameters.ts holding rows only	boundary enforcement proven rather than asserted: a forbidden package edge fails TS2307 and a relative escape fails TS2878	check exit 0 verified independently, 35 tracked files, packages/core absent, no shim	accepted
2026-08-19T20:24:28Z	structure	reviewer called patchSchema in packages/patch a violation of the patch to contract only edge; the edge claim is wrong but the finding is right	zod is a leaf dependency and not a workspace edge, so both packages may declare it; the actual defect is that a parser for a contract type lives outside the contract, which forces consumers to reach past the contract into patch	packages/patch/src/patch-schema.ts:91 patchSchema is z.ZodType<Patch>	confirmed by a different argument
2026-08-19T20:24:28Z	structure	registry/definition.ts at 271 lines is not a failed split	the 271 lines are pure type declarations describing what a parameter row is, while rows, lookup, unit conversion and self validation each got their own file	definition.ts exports only types, parameters.ts 99 lines of rows	cleared
2026-08-19T20:24:28Z	structure	deferred moving LegalRange, ResponseCurve, ParameterUnit, ParameterGroup and ParameterScope from patch into contract to the opening step of the control slice	these do cross the control seam because an adapter widgetFor switches on range and curve, but ParameterDefinition is a mixed type and the manifest is what proves where the line falls	packages/patch/src/registry/definition.ts	deferred, not dropped
2026-08-19T20:53:35Z	control	slice B landed: ff96b26 control vocabulary to contract, 761a451 contract control types, 9a05036 packages/control with three atomic operations and the seam test, bcf43d8 adapters/cli and apps/cli	the CLI projects the whole patch tree generically, Layers [1..16] and processors [0..4] with union variants and id addresses, and an @audioface/patch import inside the adapter fails TS2307	driven by hand: get, set, insert, remove all work and out of range, unknown address and illegal member type each exit non zero	accepted
2026-08-19T20:53:35Z	control	deleteLayer removed, replaced by registry driven insertMember and removeMember with SRC-36 supplying the minimum layer bound	a hardcoded minimum of one layer became a published registry row visible in the manifest as Layers [1..16], which is the rule becoming data	packages/patch/src/patch-editing.ts, manifest output	accepted
2026-08-19T20:53:35Z	control	found by driving the CLI: the adapter owns three validation rules that packages/control/src/edit.ts already owns	ControlSurface.apply takes typed edits and every adapter receives strings, so the contract forces each adapter to parse and parsing is where the rules live; MCP and HTTP would each grow a third and fourth copy	adapters/cli/src/cli.ts:58 and :83 against packages/control/src/edit.ts:58	gap in my spec, fixing with a RawControlEdit parse seam before slice C
2026-08-19T20:53:35Z	control	revision_mismatch cannot fire from any adapter and no test covers it	the CLI reads the revision immediately before applying, and the seam test covers projection only, so the concurrency guarantee expectedRevision exists for is unproven	packages/control/test/manifest.test.mjs, adapters/cli/src/cli.ts:73	fixing with a seam test covering stale revision and batch atomicity
2026-08-19T21:24:59Z	control	slice C landed: fc106af MCP, aa8a6cb HTTP, 225db36 verify-structure.mjs absorbing verify-skeleton.mjs, f49ab30 the adapter neutrality test, 63e8ac9 the enum drop	the requirement that adding a control needs no per adapter work is now a test falsified once per adapter rather than a claim in a document	test/adapter-neutrality.test.mjs, three perturbations each red	accepted
